날짜,지점,강수량(mm)
2024-04-01,108,
2024-04-02,108,
2024-04-03,108,0
2024-04-04,108,
2024-04-05,108,
2024-04-06,108,
2024-04-07,108,
2024-04-08,108,
2024-04-09,108,
2024-04-10,108,
2024-04-11,108,0
2024-04-12,108,
2024-04-13,108,
2024-04-14,108,
2024-04-15,108,17.1
2024-04-16,108,2.3
2024-04-17,108,
2024-04-18,108,
2024-04-19,108,
2024-04-20,108,4.8
2024-04-21,108,
2024-04-22,108,
2024-04-23,108,0
2024-04-24,108,9
2024-04-25,108,
2024-04-26,108,
2024-04-27,108,
2024-04-28,108,
2024-04-29,108,
2024-04-30,108,
