날짜,지점,강수량(mm)
2024-01-01,108,0
2024-01-02,108,0
2024-01-03,108,0.6
2024-01-04,108,
2024-01-05,108,0
2024-01-06,108,2.4
2024-01-07,108,
2024-01-08,108,
2024-01-09,108,1.6
2024-01-10,108,
2024-01-11,108,
2024-01-12,108,
2024-01-13,108,
2024-01-14,108,3.1
2024-01-15,108,
2024-01-16,108,
2024-01-17,108,9.7
2024-01-18,108,0.5
2024-01-19,108,
2024-01-20,108,0.4
2024-01-21,108,0.4
2024-01-22,108,0.2
2024-01-23,108,
2024-01-24,108,
2024-01-25,108,
2024-01-26,108,
2024-01-27,108,
2024-01-28,108,
2024-01-29,108,
2024-01-30,108,
2024-01-31,108,
