날짜,지점,강수량(mm)
2024-08-01,108,0.3
2024-08-02,108,
2024-08-03,108,
2024-08-04,108,
2024-08-05,108,1.3
2024-08-06,108,0
2024-08-07,108,3.4
2024-08-08,108,0
2024-08-09,108,
2024-08-10,108,
2024-08-11,108,
2024-08-12,108,
2024-08-13,108,0
2024-08-14,108,3
2024-08-15,108,6.4
2024-08-16,108,0
2024-08-17,108,11
2024-08-18,108,0
2024-08-19,108,2.3
2024-08-20,108,0
2024-08-21,108,42.2
2024-08-22,108,0.6
2024-08-23,108,0
2024-08-24,108,2
2024-08-25,108,
2024-08-26,108,0
2024-08-27,108,0.3
2024-08-28,108,
2024-08-29,108,
2024-08-30,108,
2024-08-31,108,
