사용일자,노선명,역명,승차총승객수,하차총승객수
20240401,9호선2~3단계,중앙보훈병원,13544,11720
20240401,2호선,건대입구,38777,39681
20240401,1호선,제기동,18217,18800
20240401,1호선,신설동,15950,15448
20240401,1호선,서울역,60149,55656
20240401,1호선,시청,28537,28234
20240401,1호선,종각,42514,41862
20240401,1호선,종로3가,27556,24823
20240401,2호선,구의(광진구청),27137,26734
20240401,2호선,강변(동서울터미널),31683,29554
20240401,2호선,잠실나루,17444,17019
20240401,2호선,잠실(송파구청),83549,83471
20240401,2호선,잠실새내,25227,24500
20240401,2호선,종합운동장,7900,8820
20240401,2호선,삼성(무역센터),55389,56260
20240401,2호선,선릉,64269,56772
20240401,2호선,역삼,59139,67340
20240401,2호선,강남,86997,84729
20240401,2호선,교대(법원.검찰청),34735,41577
20240401,2호선,서초,25335,23190
20240401,2호선,방배,20921,21451
20240401,2호선,사당,40326,43965
20240401,2호선,낙성대(강감찬),29605,29781
20240401,2호선,서울대입구(관악구청),50605,49117
20240401,2호선,봉천,26018,24847
20240401,2호선,신림,57692,55241
20240401,2호선,신대방,27572,26987
20240401,2호선,구로디지털단지,63095,62619
20240401,2호선,대림(구로구청),26995,27678
20240401,2호선,신도림,52569,51406
20240401,2호선,문래,25858,26348
20240401,2호선,영등포구청,25298,26007
20240401,2호선,당산,19989,23401
20240401,2호선,합정,32892,34522
20240401,2호선,홍대입구,71997,75619
20240401,2호선,신촌,43078,44045
20240401,2호선,이대,21078,23949
20240401,2호선,아현,12194,11386
20240401,2호선,충정로(경기대입구),11768,12352
20240401,2호선,용답,3539,3668
20240401,2호선,신답,1846,2099
20240401,2호선,신설동,3726,3827
20240401,2호선,도림천,1543,1650
20240401,2호선,양천구청,7668,8136
20240401,2호선,신정네거리,11326,11775
20240401,2호선,용두(동대문구청),2709,2750
20240401,3호선,지축,8123,8163
20240401,3호선,구파발,23544,22430
20240401,3호선,연신내,37177,35593
20240401,3호선,불광,17971,19041
20240401,3호선,녹번,17565,15932
20240401,3호선,홍제,20707,19709
20240401,3호선,무악재,4912,4907
20240401,3호선,독립문,8198,8569
20240401,3호선,경복궁(정부서울청사),29589,30369
20240401,3호선,안국,28974,29404
20240401,3호선,종로3가,12334,13851
20240401,3호선,을지로3가,13242,13356
20240401,3호선,충무로,2,0
20240401,3호선,동대입구,12654,14499
20240401,3호선,약수,14317,13906
20240401,3호선,금호,8937,8262
20240401,3호선,옥수,10031,10310
20240401,3호선,압구정,33742,36318
20240401,3호선,신사,29710,31033
20240401,3호선,잠원,5932,5674
20240401,3호선,고속터미널,40040,36758
20240401,3호선,교대(법원.검찰청),18688,11496
20240401,3호선,남부터미널(예술의전당),31266,32141
20240401,3호선,양재(서초구청),42027,45820
20240401,3호선,매봉,14623,14100
20240401,3호선,도곡,6689,6656
20240401,3호선,대치,13745,13559
20240401,3호선,학여울,2225,2234
